"Name","Location","Function Signature","Function Size"
"runtime/internal/atomic.And8","004022a0","undefined runtime/internal/atomic.And8(byte * param_1\, byte param_2)","12"
"runtime/internal/atomic.Store8","004022b0","undefined runtime/internal/atomic.Store8(undefined * param_1\, undefined param_2)","11"
"runtime/internal/atomic.Or","004022c0","undefined runtime/internal/atomic.Or(uint * param_1\, uint param_2)","12"
"runtime/internal/atomic.And","004022d0","undefined runtime/internal/atomic.And(uint * param_1\, uint param_2)","12"
"type:.eq.runtime/internal/atomic.Uint64","004022e0","undefined type:.eq.runtime/internal/atomic.Uint64(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","56"
"type:.eq.runtime/internal/atomic.Int64","00402320","undefined type:.eq.runtime/internal/atomic.Int64(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","56"
"runtime/internal/sys.TrailingZeros64","00402360","undefined runtime/internal/sys.TrailingZeros64(uint param_1\, uint param_2)","40"
"runtime/internal/sys.TrailingZeros32","00402390","undefined runtime/internal/sys.TrailingZeros32(uint param_1)","19"
"runtime/internal/sys.TrailingZeros8","004023b0","undefined runtime/internal/sys.TrailingZeros8(byte param_1)","20"
"type:.eq.runtime/internal/sys.NotInHeap","004023d0","undefined type:.eq.runtime/internal/sys.NotInHeap(undefined param_1\, undefined param_2\, undefined1 param_3)","31"
"cmpbody","004023f0","undefined cmpbody(undefined4 param_1\, uint param_2)","239"
"runtime.cmpstring","004024e0","undefined runtime.cmpstring(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined1 param_5)","25"
"memeqbody","00402500","undefined memeqbody(void)","201"
"runtime.memequal","004025d0","undefined runtime.memequal(int param_1\, int param_2)","31"
"runtime.memequal_varlen","004025f0","undefined runtime.memequal_varlen(undefined4 param_1\, int param_2\, int * param_3\, int * param_4)","1"
"internal/bytealg.IndexByteString","00402610","undefined internal/bytealg.IndexByteString(char * param_1\, int param_2\, char param_3)","38"
"runtime.strhashFallback","00402640","undefined runtime.strhashFallback(undefined4 * param_1\, undefined4 param_2)","69"
"runtime.f32hash","00402690","undefined runtime.f32hash(undefined[16] * param_1\, uint param_2)","214"
"runtime.f64hash","00402770","undefined runtime.f64hash(undefined[16] * param_1\, uint param_2)","216"
"runtime.c64hash","00402850","undefined runtime.c64hash(undefined[16] * param_1\, uint param_2)","85"
"runtime.c128hash","004028b0","undefined runtime.c128hash(undefined[16] * param_1\, uint param_2)","85"
"runtime.interhash","00402910","undefined runtime.interhash(int * param_1\, uint param_2)","265"
"runtime.nilinterhash","00402a20","undefined runtime.nilinterhash(undefined4 * param_1\, uint param_2)","262"
"runtime.typehash","00402b30","undefined runtime.typehash(uint * param_1\, undefined[16] * param_2\, undefined * param_3)","779"
"runtime.memequal0","00402e40","undefined runtime.memequal0(undefined param_1\, undefined param_2\, undefined1 param_3)","31"
"runtime.memequal8","00402e60","undefined runtime.memequal8(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","46"
"runtime.memequal16","00402e90","undefined runtime.memequal16(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","47"
"runtime.memequal32","00402ec0","undefined runtime.memequal32(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","45"
"runtime.memequal64","00402ef0","undefined runtime.memequal64(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","56"
"runtime.memequal128","00402f30","undefined runtime.memequal128(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","84"
"runtime.f32equal","00402f90","undefined runtime.f32equal(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","57"
"runtime.f64equal","00402fd0","undefined runtime.f64equal(undefined4 param_1\, undefined4 param_2\, undefined1 param_3)","58"
"runtime.c64equal","00403010","undefined runtime.c64equal(void)","1"
"runtime.c128equal","00403070","undefined runtime.c128equal(void)","1"
"runtime.strequal","004030d0","undefined runtime.strequal(int * param_1\, int * param_2)","81"
"runtime.interequal","00403130","undefined runtime.interequal(int * param_1\, int * param_2)","1"
"runtime.nilinterequal","00403190","undefined runtime.nilinterequal(undefined4 * param_1\, undefined4 * param_2)","81"
"runtime.efaceeq","004031f0","undefined runtime.efaceeq(undefined * param_1\, undefined4 param_2\, undefined4 param_3)","218"
"runtime.ifaceeq","004032d0","undefined runtime.ifaceeq(int param_1\, undefined4 param_2\, undefined4 param_3)","221"
"runtime.alginit","004033b0","undefined runtime.alginit(void)","172"
"runtime.init.0","00403460","undefined4 runtime.init.0(void)","83"
"runtime.(*mspan).setUserArenaChunkToFault","004034c0","undefined runtime.(*mspan).setUserArenaChunkToFault(int param_1)","532"
"runtime.(*mspan).setUserArenaChunkToFault.func1","004036e0","undefined runtime.(*mspan).setUserArenaChunkToFault.func1(undefined4 param_1\, int param_2)","92"
"runtime.atomicwb","00403740","undefined runtime.atomicwb(undefined4 * param_1\, uint param_2)","84"
"runtime.atomicstorep","004037a0","undefined runtime.atomicstorep(undefined4 * param_1\, uint param_2)","58"
"runtime.cgocall","004037e0","undefined runtime.cgocall(undefined * param_1\, undefined4 param_2)","220"
"runtime.cgocallbackg","004038c0","undefined runtime.cgocallbackg(undefined * param_1\, undefined4 param_2\, undefined * param_3)","350"
"runtime.cgocallbackg1","00403a20","undefined runtime.cgocallbackg1(undefined * param_1\, undefined4 param_2\, undefined * param_3)","654"
"runtime.cgocallbackg1.func3","00403cb0","undefined runtime.cgocallbackg1.func3(undefined4 param_1\, int param_2\, undefined1 param_3)","62"
"runtime.cgocallbackg1.func2","00403cf0","undefined runtime.cgocallbackg1.func2(undefined4 param_1\, int param_2\, undefined1 param_3)","64"
"runtime.unwindm","00403d30","undefined runtime.unwindm(char * param_1)","186"
"runtime.cgoIsGoPointer","00403df0","undefined runtime.cgoIsGoPointer(uint param_1)","141"
"runtime.cgoCheckWriteBarrier","00403e80","undefined runtime.cgoCheckWriteBarrier(undefined4 * param_1\, uint param_2)","192"
"runtime.cgoCheckWriteBarrier.func1","00403f40","undefined runtime.cgoCheckWriteBarrier.func1(undefined4 param_1\, int param_2)","171"
