"Name","Location","Function Signature","Function Size"
"runtime.(*stackScanState).getPtr","00420e40","undefined runtime.(*stackScanState).getPtr(int param_1)","272"
"runtime.(*stackScanState).addObject","00420f50","undefined runtime.(*stackScanState).addObject(int param_1\, int param_2\, int param_3)","289"
"runtime.binarySearchTree","00421080","undefined runtime.binarySearchTree(undefined4 param_1\, undefined4 param_2\, int param_3)","267"
"runtime.(*sweepClass).update","00421190","undefined runtime.(*sweepClass).update(int * param_1\, uint param_2)","104"
"runtime.(*mheap).nextSpanForSweep","00421200","undefined runtime.(*mheap).nextSpanForSweep(int param_1)","336"
"runtime.(*activeSweep).begin","00421350","undefined runtime.(*activeSweep).begin(int * param_1)","117"
"runtime.(*activeSweep).end","004213d0","undefined runtime.(*activeSweep).end(int * param_1\, int param_2)","531"
"runtime.(*activeSweep).markDrained","004215f0","undefined runtime.(*activeSweep).markDrained(int * param_1)","101"
"runtime.finishsweep_m","00421660","undefined runtime.finishsweep_m(void)","269"
"runtime.bgsweep","00421770","undefined runtime.bgsweep(uint * param_1)","377"
"runtime.(*sweepLocker).tryAcquire","004218f0","undefined runtime.(*sweepLocker).tryAcquire(int * param_1\, int param_2)","187"
"runtime.sweepone","004219b0","undefined runtime.sweepone(undefined4 param_1)","623"
"runtime.(*mspan).ensureSwept","00421c20","undefined runtime.(*mspan).ensureSwept(int param_1)","311"
"runtime.(*sweepLocked).sweep","00421d60","undefined runtime.(*sweepLocked).sweep(uint * param_1\, char param_2\, char param_3)","3064"
"runtime.(*sweepLocked).sweep.func1","00422960","undefined runtime.(*sweepLocked).sweep.func1(undefined4 param_1\, int param_2)","153"
"runtime.(*mspan).reportZombies","00422a00","undefined runtime.(*mspan).reportZombies(uint param_1)","754"
"runtime.deductSweepCredit","00422d00","undefined runtime.deductSweepCredit(undefined4 param_1\, uint param_2)","423"
"runtime.gcPaceSweeper","00422eb0","undefined runtime.gcPaceSweeper(uint param_1\, int param_2)","417"
"runtime.(*gcWork).init","00423060","undefined runtime.(*gcWork).init(int * param_1)","73"
"runtime.(*gcWork).put","004230b0","undefined runtime.(*gcWork).put(int * param_1\, undefined4 param_2)","206"
"runtime.(*gcWork).putBatch","00423180","undefined runtime.(*gcWork).putBatch(int * param_1\, undefined4 * param_2\, uint param_3\, int param_4)","387"
"runtime.(*gcWork).tryGet","00423310","undefined runtime.(*gcWork).tryGet(int * * param_1)","180"
"runtime.(*gcWork).dispose","004233d0","undefined4 * runtime.(*gcWork).dispose(undefined4 * param_1)","276"
"runtime.(*gcWork).balance","004234f0","undefined runtime.(*gcWork).balance(undefined4 * param_1)","147"
"runtime.(*workbuf).checknonempty","00423590","undefined runtime.(*workbuf).checknonempty(int param_1)","66"
"runtime.(*workbuf).checkempty","004235e0","undefined runtime.(*workbuf).checkempty(int param_1)","66"
"runtime.getempty","00423630","undefined runtime.getempty(undefined4 param_1)","474"
"runtime.getempty.func1","00423810","undefined runtime.getempty.func1(undefined4 param_1\, int param_2)","76"
"runtime.putempty","00423860","undefined runtime.putempty(undefined4 * param_1)","68"
"runtime.putfull","004238b0","undefined runtime.putfull(undefined4 * param_1)","68"
"runtime.trygetfull","00423900","undefined runtime.trygetfull(undefined4 param_1)","82"
"runtime.handoff","00423960","undefined runtime.handoff(undefined4 * param_1)","141"
"runtime.prepareFreeWorkbufs","004239f0","undefined runtime.prepareFreeWorkbufs(void)","263"
"runtime.freeSomeWbufs","00423b00","undefined runtime.freeSomeWbufs(byte param_1)","184"
"runtime.freeSomeWbufs.func1","00423bc0","undefined runtime.freeSomeWbufs.func1(undefined4 param_1\, int param_2)","177"
"runtime.recordspan","00423c80","undefined runtime.recordspan(int param_1\, undefined4 param_2)","398"
"runtime.inHeapOrStack","00423e10","undefined runtime.inHeapOrStack(uint param_1)","129"
"runtime.spanOfHeap","00423ea0","undefined runtime.spanOfHeap(uint param_1)","131"
"runtime.(*mheap).init","00423f30","undefined runtime.(*mheap).init(uint param_1)","431"
"runtime.(*mheap).reclaim","004240e0","undefined runtime.(*mheap).reclaim(int * param_1\, uint param_2)","615"
"runtime.(*mheap).reclaimChunk","00424350","undefined runtime.(*mheap).reclaimChunk(int * param_1\, int param_2\, uint param_3\, undefined4 param_4\, uint param_5\, uint param_6)","854"
"runtime.(*mheap).alloc","004246b0","undefined runtime.(*mheap).alloc(undefined4 param_1\, undefined4 param_2\, byte param_3)","114"
"runtime.(*mheap).alloc.func1","00424730","undefined runtime.(*mheap).alloc.func1(undefined4 param_1\, int param_2)","154"
"runtime.(*mheap).allocManual","004247d0","undefined runtime.(*mheap).allocManual(IMAGE_DOS_HEADER * param_1\, undefined4 * param_2\, byte param_3)","101"
"runtime.(*mheap).setSpans","00424840","undefined runtime.(*mheap).setSpans(int param_1\, uint param_2\, uint param_3\, undefined4 param_4)","138"
"runtime.(*mheap).allocNeedsZero","004248d0","undefined runtime.(*mheap).allocNeedsZero(int param_1\, uint param_2\, int param_3)","341"
"runtime.(*mheap).allocMSpanLocked","00424a30","undefined runtime.(*mheap).allocMSpanLocked(int param_1)","239"
"runtime.(*mheap).allocSpan","00424b20","undefined runtime.(*mheap).allocSpan(IMAGE_DOS_HEADER * param_1\, undefined4 * param_2\, uint param_3)","1782"
"runtime.(*mheap).initSpan","00425220","undefined runtime.(*mheap).initSpan(int param_1\, undefined4 * param_2\, undefined4 param_3\, uint param_4\, uint param_5)","563"
"runtime.(*mheap).grow","00425460","undefined runtime.(*mheap).grow(IMAGE_DOS_HEADER * param_1\, int param_2)","807"
"runtime.(*mheap).freeSpan","00425790","undefined runtime.(*mheap).freeSpan(undefined4 param_1\, undefined4 param_2)","94"
"runtime.(*mheap).freeSpan.func1","004257f0","undefined runtime.(*mheap).freeSpan.func1(undefined4 param_1\, int param_2)","116"
"runtime.(*mheap).freeManual","00425870","undefined runtime.(*mheap).freeManual(int * param_1\, undefined4 * param_2\, byte param_3)","116"
"runtime.(*mheap).freeSpanLocked","004258f0","undefined runtime.(*mheap).freeSpanLocked(int param_1\, undefined4 * param_2\, byte param_3)","1065"
"runtime.(*mspan).init","00425d20","undefined runtime.(*mspan).init(undefined4 * param_1\, undefined4 param_2\, undefined4 param_3)","154"
"runtime.(*mSpanList).remove","00425dc0","undefined runtime.(*mSpanList).remove(int * * param_1\, int * * param_2)","346"
"runtime.(*mSpanList).insert","00425f20","undefined runtime.(*mSpanList).insert(uint * * param_1\, uint * * param_2)","231"
"runtime.spanHasSpecials","00426010","undefined runtime.spanHasSpecials(int param_1)","116"
"runtime.spanHasNoSpecials","00426090","undefined runtime.spanHasNoSpecials(int param_1)","118"
"runtime.addspecial","00426110","undefined runtime.addspecial(uint param_1\, int * * param_2)","378"
"runtime.removespecial","00426290","undefined runtime.removespecial(uint param_1\, char param_2)","292"
"runtime.addfinalizer","004263c0","undefined runtime.addfinalizer(uint param_1\, int * param_2\, int * param_3\, int * param_4\, int * param_5)","523"
"runtime.removefinalizer","004265d0","undefined runtime.removefinalizer(uint param_1)","136"
"runtime.setprofilebucket","00426660","undefined runtime.setprofilebucket(uint param_1\, int * param_2)","151"
"runtime.freeSpecial","00426700","undefined runtime.freeSpecial(undefined4 * param_1\, undefined4 param_2\, int param_3)","294"
"runtime.(*gcBitsArena).tryAlloc","00426830","undefined runtime.(*gcBitsArena).tryAlloc(int * param_1\, int param_2)","155"
"runtime.newMarkBits","004268d0","undefined runtime.newMarkBits(int param_1)","394"
"runtime.newAllocBits","00426a60","undefined runtime.newAllocBits(int param_1)","52"
"runtime.nextMarkBitArenaEpoch","00426aa0","undefined runtime.nextMarkBitArenaEpoch(void)","168"
"runtime.newArenaMayUnlock","00426b50","undefined runtime.newArenaMayUnlock(undefined4 param_1)","193"
"runtime.(*pageAlloc).init","00426c20","undefined runtime.(*pageAlloc).init(int param_1\, undefined4 param_2\, undefined4 param_3)","334"
"runtime.(*pageAlloc).grow","00426d70","undefined runtime.(*pageAlloc).grow(undefined4 * param_1\, uint param_2\, uint param_3)","428"
"runtime.(*pageAlloc).update","00426f20","undefined runtime.(*pageAlloc).update(undefined4 * param_1\, undefined4 * param_2\, int param_3\, undefined4 param_4)","1168"
"runtime.(*pageAlloc).allocRange","004273b0","undefined runtime.(*pageAlloc).allocRange(undefined4 * param_1\, undefined4 * param_2\, int param_3)","665"
"runtime.(*pageAlloc).findMappedAddr","00427650","undefined runtime.(*pageAlloc).findMappedAddr(int param_1\, uint param_2)","140"
"runtime.(*pageAlloc).find","004276e0","undefined runtime.(*pageAlloc).find(uint param_1\, undefined4 param_2\, int param_3)","3022"
"runtime.(*pageAlloc).find.func1","004282b0","undefined runtime.(*pageAlloc).find.func1(undefined4 param_1\, int param_2\, uint param_3\, uint param_4)","333"
"runtime.(*pageAlloc).alloc","00428400","undefined runtime.(*pageAlloc).alloc(undefined4 * param_1\, uint param_2)","611"
"runtime.(*pageAlloc).free","00428670","undefined runtime.(*pageAlloc).free(undefined4 * param_1\, undefined4 * param_2\, int param_3\, char param_4)","579"
"runtime.mergeSummaries","004288c0","undefined runtime.mergeSummaries(uint * param_1\, uint param_2\, undefined4 param_3\, uint param_4)","438"
"runtime.(*pageAlloc).sysInit","00428a80","undefined runtime.(*pageAlloc).sysInit(int param_1)","460"
"runtime.(*pageAlloc).sysGrow","00428c50","undefined runtime.(*pageAlloc).sysGrow(int param_1\, uint param_2\, uint param_3)","369"
"runtime.(*pageCache).alloc","00428dd0","undefined runtime.(*pageCache).alloc(int param_1\, uint param_2)","356"
"runtime.(*pageCache).allocN","00428f40","undefined runtime.(*pageCache).allocN(int param_1\, uint param_2)","477"
"runtime.(*pageCache).flush","00429120","undefined runtime.(*pageCache).flush(uint * param_1\, undefined4 * param_2)","587"
"runtime.(*pageAlloc).allocToCache","00429370","undefined runtime.(*pageAlloc).allocToCache(undefined4 * param_1)","732"
"runtime.(*pageBits).setRange","00429650","undefined runtime.(*pageBits).setRange(int param_1\, uint param_2\, uint param_3)","665"
"runtime.(*pageBits).clearRange","004298f0","undefined runtime.(*pageBits).clearRange(int param_1\, uint param_2\, uint param_3)","673"
"runtime.(*pageBits).popcntRange","00429ba0","undefined runtime.(*pageBits).popcntRange(undefined4 param_1\, uint param_2\, int param_3)","1411"
"runtime.(*pallocBits).summarize","0042a130","undefined runtime.(*pallocBits).summarize(int param_1)","1478"
"runtime.(*pallocBits).find","0042a700","undefined runtime.(*pallocBits).find(int param_1\, uint param_2\, uint param_3)","173"
"runtime.(*pallocBits).find1","0042a7b0","undefined runtime.(*pallocBits).find1(int param_1\, uint param_2)","137"
"runtime.(*pallocBits).findSmallN","0042a840","undefined runtime.(*pallocBits).findSmallN(int param_1\, uint param_2\, uint param_3)","546"
"runtime.(*pallocBits).findLargeN","0042aa70","undefined runtime.(*pallocBits).findLargeN(int param_1\, uint param_2\, uint param_3)","873"
"runtime.findBitRange64","0042ade0","undefined runtime.findBitRange64(uint param_1\, uint param_2\, int param_3)","339"
"runtime.(*pallocData).allocRange","0042af40","undefined runtime.(*pallocData).allocRange(int param_1\, uint param_2\, uint param_3)","93"
"runtime.(*mProfCycleHolder).setFlushed","0042afa0","undefined runtime.(*mProfCycleHolder).setFlushed(int * param_1)","104"
"runtime.(*mProfCycleHolder).increment","0042b010","undefined runtime.(*mProfCycleHolder).increment(int * param_1)","105"
"runtime.newBucket","0042b080","undefined runtime.newBucket(int param_1\, int param_2)","138"
"runtime.(*bucket).mp","0042b110","undefined runtime.(*bucket).mp(int param_1)","76"
"runtime.(*bucket).bp","0042b160","undefined runtime.(*bucket).bp(int param_1)","83"
"runtime.stkbucket","0042b1c0","undefined runtime.stkbucket(uint * param_1\, uint * param_2\, uint * * param_3\, uint * * param_4\, undefined4 param_5\, char param_6)","994"
"runtime.mProf_Flush","0042b5b0","undefined runtime.mProf_Flush(void)","192"
"runtime.mProf_FlushLocked","0042b670","undefined runtime.mProf_FlushLocked(uint param_1)","188"
"runtime.mProf_Malloc","0042b730","undefined runtime.mProf_Malloc(undefined4 param_1\, uint * param_2)","443"
"runtime.mProf_Malloc.func1","0042b8f0","undefined runtime.mProf_Malloc.func1(undefined4 param_1\, int param_2)","50"
"runtime.mProf_Free","0042b930","undefined runtime.mProf_Free(int param_1\, int param_2)","196"
"runtime.blockevent","0042ba00","undefined runtime.blockevent(uint param_1\, uint param_2\, int param_3)","209"
"runtime.blocksampled","0042bae0","undefined runtime.blocksampled(uint param_1\, uint param_2\, uint param_3\, uint param_4)","260"
"runtime.saveblockevent","0042bbf0","undefined runtime.saveblockevent(uint param_1\, int param_2\, uint param_3\, int param_4\, uint * * * * param_5\, uint * param_6)","774"
"runtime.tryRecordGoroutineProfileWB","0042bf00","undefined runtime.tryRecordGoroutineProfileWB(int param_1)","100"
"runtime.tryRecordGoroutineProfile","0042bf70","undefined runtime.tryRecordGoroutineProfile(int param_1\, undefined * * param_2)","308"
"runtime.doRecordGoroutineProfile","0042c0b0","undefined runtime.doRecordGoroutineProfile(int param_1)","359"
"runtime.doRecordGoroutineProfile.func1","0042c220","undefined runtime.doRecordGoroutineProfile.func1(undefined4 param_1\, int param_2)","93"
"runtime.saveg","0042c280","undefined runtime.saveg(uint * * * * param_1\, uint * * * * param_2\, uint * * * * param_3\, uint param_4)","154"
"runtime.tracealloc","0042c320","undefined runtime.tracealloc(uint param_1\, uint param_2\, undefined * param_3)","585"
"runtime.tracealloc.func1","0042c570","undefined runtime.tracealloc.func1(undefined4 param_1\, int param_2)","74"
"runtime.tracefree","0042c5c0","undefined runtime.tracefree(uint param_1\, uint param_2)","323"
"runtime.tracefree.func1","0042c710","undefined runtime.tracefree.func1(undefined4 param_1\, int param_2)","74"
"runtime.tracegc","0042c760","undefined runtime.tracegc(void)","201"
"runtime.makeAddrRange","0042c830","undefined runtime.makeAddrRange(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","85"
"runtime.(*atomicOffAddr).Clear","0042c890","undefined runtime.(*atomicOffAddr).Clear(longlong * param_1)","97"
"runtime.(*atomicOffAddr).StoreMin","0042c900","undefined runtime.(*atomicOffAddr).StoreMin(longlong * param_1\, uint param_2)","114"
"runtime.(*atomicOffAddr).Load","0042c980","undefined runtime.(*atomicOffAddr).Load(uint param_1)","79"
"runtime.(*addrRanges).init","0042c9d0","undefined runtime.(*addrRanges).init(undefined4 * param_1\, undefined4 param_2)","126"
"runtime.(*addrRanges).findSucc","0042ca50","undefined runtime.(*addrRanges).findSucc(int * param_1\, uint param_2)","202"
"runtime.(*addrRanges).findAddrGreaterEqual","0042cb20","undefined runtime.(*addrRanges).findAddrGreaterEqual(int * param_1\, uint param_2)","206"
"runtime.(*addrRanges).add","0042cbf0","undefined runtime.(*addrRanges).add(uint * param_1\, uint param_2\, uint param_3)","1172"
"runtime.(*spanSet).push","0042d090","undefined runtime.(*spanSet).push(int * param_1\, undefined4 param_2)","518"
"runtime.(*spanSet).pop","0042d2a0","undefined runtime.(*spanSet).pop(int param_1)","446"
"runtime.(*spanSet).reset","0042d460","undefined runtime.(*spanSet).reset(int param_1)","490"
"runtime.(*spanSetBlockAlloc).alloc","0042d650","undefined runtime.(*spanSetBlockAlloc).alloc(longlong * param_1)","102"
"runtime.(*spanSetBlockAlloc).free","0042d6c0","undefined runtime.(*spanSetBlockAlloc).free(longlong * param_1\, undefined4 * param_2)","79"
"runtime.(*atomicHeadTailIndex).incTail","0042d710","undefined runtime.(*atomicHeadTailIndex).incTail(longlong * param_1)","215"
"runtime.init.3","0042d7f0","undefined runtime.init.3(void)","26"
"runtime.(*sysMemStat).add","0042d810","undefined runtime.(*sysMemStat).add(longlong * param_1\, uint param_2\, uint param_3)","314"
"runtime.(*consistentHeapStats).acquire","0042d950","undefined runtime.(*consistentHeapStats).acquire(int param_1)","243"
"runtime.(*consistentHeapStats).release","0042da50","undefined runtime.(*consistentHeapStats).release(int param_1)","170"
"runtime.(*wbBuf).reset","0042db00","undefined runtime.(*wbBuf).reset(int * param_1)","105"
"runtime.wbBufFlush","0042db70","undefined runtime.wbBufFlush(undefined4 * param_1\, uint param_2)","147"
"runtime.wbBufFlush1","0042dc10","undefined runtime.wbBufFlush1(int param_1)","626"
"runtime.(*pollDesc).publishInfo","0042de90","undefined runtime.(*pollDesc).publishInfo(int param_1)","147"
"runtime.(*pollDesc).setEventErr","0042df30","undefined runtime.(*pollDesc).setEventErr(int param_1\, char param_2)","125"
"runtime.netpollGenericInit","0042dfb0","undefined runtime.netpollGenericInit(void)","137"
"runtime.(*pollCache).free","0042e040","undefined runtime.(*pollCache).free(int * param_1\, int * param_2)","73"
"runtime.netpollready","0042e090","undefined runtime.netpollready(int * param_1\, int param_2\, int param_3)","182"
"runtime.netpollcheckerr","0042e150","undefined runtime.netpollcheckerr(undefined4 param_1\, int param_2)","153"
"runtime.netpollblockcommit","0042e1f0","undefined runtime.netpollblockcommit(int param_1\, int * param_2)","109"
"runtime.netpollgoready","0042e260","undefined runtime.netpollgoready(undefined4 param_1\, int param_2)","75"
"runtime.netpollblock","0042e2b0","undefined runtime.netpollblock(int param_1\, int param_2\, char param_3)","342"
"runtime.netpollunblock","0042e410","undefined runtime.netpollunblock(int param_1\, int param_2\, byte param_3)","180"
"runtime.(*pollCache).alloc","0042e4d0","undefined runtime.(*pollCache).alloc(int * param_1)","164"
"runtime.netpollinit","0042e580","undefined runtime.netpollinit(void)","208"
"runtime.netpollopen","0042e650","undefined runtime.netpollopen(undefined4 param_1\, undefined param_2\, undefined4 param_3)","112"
"runtime.netpollBreak","0042e6c0","undefined runtime.netpollBreak(void)","247"
"runtime.netpoll","0042e7c0","undefined runtime.netpoll(uint param_1\, uint param_2)","958"
"runtime.handlecompletion","0042eb80","undefined runtime.handlecompletion(int * param_1\, int param_2\, undefined4 param_3\, undefined4 param_4)","178"
"runtime.windowsFindfunc","0042ec40","undefined runtime.windowsFindfunc(undefined4 param_1\, int param_2\, uint param_3)","118"
"runtime.windowsLoadSystemLib","0042ecc0","undefined runtime.windowsLoadSystemLib(undefined4 * param_1\, uint param_2)","418"
"runtime.loadOptionalSyscalls","0042ee70","undefined runtime.loadOptionalSyscalls(void)","1744"
"runtime.monitorSuspendResume","0042f540","undefined runtime.monitorSuspendResume(void)","278"
"runtime.getproccount","0042f660","undefined runtime.getproccount(undefined4 param_1)","200"
"runtime.osRelax","0042f730","undefined runtime.osRelax(char param_1)","128"
"runtime.initHighResTimer","0042f7b0","undefined runtime.initHighResTimer(void)","111"
"runtime.initLongPathSupport","0042f820","undefined runtime.initLongPathSupport(void)","618"
"runtime.osinit","0042fa90","undefined runtime.osinit(void)","323"
"runtime.nanotimeQPC","0042fbe0","undefined runtime.nanotimeQPC(undefined4 param_1\, undefined4 param_2)","120"
"runtime.nowQPC","0042fc60","undefined runtime.nowQPC(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","294"
"runtime.initWine","0042fd90","undefined runtime.initWine(undefined4 param_1)","850"
"runtime.getRandomData","004300f0","undefined runtime.getRandomData(int param_1\, uint param_2\, undefined4 param_3)","103"
"runtime.goenvs","00430160","undefined runtime.goenvs(void)","493"
"runtime.exit","00430350","undefined runtime.exit(undefined4 param_1)","66"
"runtime.write1","004303a0","undefined runtime.write1(int param_1\, int param_2\, uint param_3)","285"
"runtime.writeConsole","004304c0","undefined runtime.writeConsole(undefined4 param_1\, int param_2\, uint param_3)","530"
"runtime.writeConsoleUTF16","004306e0","undefined runtime.writeConsoleUTF16(undefined4 param_1\, undefined4 param_2\, int param_3)","102"
"runtime.semasleep","00430750","undefined runtime.semasleep(uint param_1\, int param_2)","737"
"runtime.semasleep.func3","00430a40","undefined runtime.semasleep.func3(undefined4 param_1\, int param_2)","115"
"runtime.semawakeup","00430ac0","undefined runtime.semawakeup(undefined4 param_1)","57"
"runtime.semacreate","00430b00","undefined runtime.semacreate(int param_1)","227"
"runtime.newosproc","00430bf0","undefined runtime.newosproc(undefined4 param_1)","327"
"runtime.exitThread","00430d40","undefined runtime.exitThread(void)","51"
"runtime.minit","00430d80","undefined runtime.minit(void)","828"
"runtime.unminit","004310c0","undefined runtime.unminit(void)","108"
"runtime.mdestroy","00431130","undefined runtime.mdestroy(int param_1)","137"
"runtime.stdcall","004311c0","undefined runtime.stdcall(undefined4 param_1\, undefined4 param_2)","164"
"runtime.stdcall0","00431270","undefined runtime.stdcall0(undefined4 param_1\, undefined4 param_2)","63"
"runtime.stdcall1","004312b0","undefined runtime.stdcall1(undefined4 param_1\, undefined1 param_2\, undefined4 param_3)","71"
"runtime.stdcall2","00431300","undefined runtime.stdcall2(undefined4 param_1\, undefined1 param_2\, undefined param_3\, undefined4 param_4)","71"
"runtime.stdcall3","00431350","undefined runtime.stdcall3(undefined4 param_1\, undefined1 param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","71"
"runtime.stdcall4","004313a0","undefined runtime.stdcall4(undefined4 param_1\, undefined1 param_2\, undefined param_3\, undefined param_4\, undefined param_5\, undefined4 param_6)","71"
"runtime.stdcall5","004313f0","undefined runtime.stdcall5(undefined4 param_1\, undefined1 param_2\, undefined param_3\, undefined param_4\, undefined param_5\, undefined param_6\, undefined4 param_7)","71"
"runtime.stdcall6","00431440","undefined runtime.stdcall6(undefined4 param_1\, undefined1 param_2\, undefined param_3\, undefined param_4\, undefined param_5\, undefined param_6\, undefined param_7\, undefined4 param_8)","71"
"runtime.stdcall7","00431490","undefined runtime.stdcall7(undefined4 param_1\, undefined1 param_2\, undefined param_3\, undefined param_4\, undefined param_5\, undefined param_6\, undefined param_7\, undefined param_8\, undefined4 param_9)","71"
"runtime.osyield","004314e0","undefined runtime.osyield(void)","21"
"runtime.usleep","00431500","undefined runtime.usleep(undefined4 param_1)","53"
"runtime.usleep.func1","00431540","undefined runtime.usleep.func1(undefined4 param_1\, int param_2)","93"
"runtime.ctrlHandler","004315a0","undefined runtime.ctrlHandler(uint param_1)","170"
"runtime.setThreadCPUProfiler","00431650","undefined runtime.setThreadCPUProfiler(undefined4 param_1)","215"
"runtime.preemptM","00431730","undefined runtime.preemptM(uint * * * * param_1)","1083"
"runtime.osPreemptExtEnter","00431b70","undefined runtime.osPreemptExtEnter(int param_1)","68"
"runtime.panicCheck1","00431bc0","undefined runtime.panicCheck1(undefined * param_1\, undefined4 param_2\, undefined4 param_3)","189"
"runtime.panicCheck2","00431c80","undefined runtime.panicCheck2(undefined4 param_1\, undefined4 param_2)","84"
"runtime.goPanicIndex","00431ce0","undefined runtime.goPanicIndex(int param_1\, undefined4 param_2)","174"
"runtime.goPanicIndexU","00431d90","undefined runtime.goPanicIndexU(undefined4 param_1\, undefined4 param_2)","175"
"runtime.goPanicSliceAlen","00431e40","undefined runtime.goPanicSliceAlen(int param_1\, undefined4 param_2)","174"
"runtime.goPanicSliceAlenU","00431ef0","undefined runtime.goPanicSliceAlenU(undefined4 param_1\, undefined4 param_2)","175"
"runtime.goPanicSliceAcap","00431fa0","undefined runtime.goPanicSliceAcap(int param_1\, undefined4 param_2)","174"
"runtime.goPanicSliceAcapU","00432050","undefined runtime.goPanicSliceAcapU(undefined4 param_1\, undefined4 param_2)","175"
"runtime.goPanicSliceB","00432100","undefined runtime.goPanicSliceB(int param_1\, undefined4 param_2)","174"
"runtime.goPanicSliceBU","004321b0","undefined runtime.goPanicSliceBU(undefined4 param_1\, undefined4 param_2)","175"
"runtime.goPanicSlice3Alen","00432260","undefined runtime.goPanicSlice3Alen(int param_1\, undefined4 param_2)","174"
"runtime.goPanicSlice3AlenU","00432310","undefined runtime.goPanicSlice3AlenU(undefined4 param_1\, undefined4 param_2)","175"
"runtime.goPanicSlice3C","004323c0","undefined runtime.goPanicSlice3C(int param_1\, undefined4 param_2)","174"
"runtime.panicshift","00432470","undefined runtime.panicshift(void)","90"
"runtime.panicdivide","004324d0","undefined runtime.panicdivide(void)","82"
"runtime.deferprocStack","00432530","undefined runtime.deferprocStack(undefined2 * param_1)","121"
"runtime.newdefer","004325b0","undefined runtime.newdefer(undefined4 param_1)","544"
"runtime.freedefer","004327d0","undefined runtime.freedefer(undefined[16] * param_1)","688"
"runtime.freedeferpanic","00432a80","undefined runtime.freedeferpanic(void)","51"
"runtime.freedeferfn","00432ac0","undefined runtime.freedeferfn(void)","51"
"runtime.deferreturn","00432b00","undefined runtime.deferreturn(undefined4 param_1\, int param_2)","286"
"runtime.preprintpanics","00432c20","undefined runtime.preprintpanics(int param_1)","352"
"runtime.printpanics","00432d90","undefined runtime.printpanics(int param_1)","234"
"runtime.addOneOpenDeferFrame","00432e80","undefined runtime.addOneOpenDeferFrame(int param_1\, undefined4 param_2\, int param_3)","122"
"runtime.addOneOpenDeferFrame.func1","00432f00","undefined runtime.addOneOpenDeferFrame.func1(undefined4 param_1\, int param_2\, uint * * * * param_3)","165"
"runtime.addOneOpenDeferFrame.func1.1","00432fb0","undefined runtime.addOneOpenDeferFrame.func1.1(undefined4 param_1\, int param_2\, uint * * param_3)","534"
"runtime.runOpenDeferFrame","004331d0","undefined runtime.runOpenDeferFrame(int param_1)","720"
"runtime.deferCallSave","004334a0","undefined runtime.deferCallSave(undefined4 * param_1\, undefined * * param_2)","172"
"runtime.gopanic","00433550","undefined runtime.gopanic(double * param_1\, undefined4 param_2)","1714"
"runtime.getargp","00433c10","undefined runtime.getargp(undefined4 param_1)","9"
"runtime.gorecover","00433c20","undefined runtime.gorecover(int param_1)","82"
"runtime.throw","00433c80","undefined runtime.throw(undefined4 param_1\, undefined4 param_2)","81"
"runtime.throw.func1","00433ce0","undefined runtime.throw.func1(undefined4 param_1\, int param_2)","103"
"runtime.fatal","00433d50","undefined runtime.fatal(undefined4 param_1\, undefined4 param_2)","81"
"runtime.fatal.func1","00433db0","undefined runtime.fatal.func1(undefined4 param_1\, int param_2)","103"
"runtime.recovery","00433e20","undefined runtime.recovery(uint * param_1)","297"
"runtime.fatalthrow","00433f50","undefined runtime.fatalthrow(undefined4 param_1)","119"
"runtime.fatalthrow.func1","00433fd0","undefined runtime.fatalthrow.func1(undefined4 param_1\, int param_2)","98"
"runtime.fatalpanic","00434040","undefined runtime.fatalpanic(undefined4 param_1)","124"
"runtime.fatalpanic.func1","004340c0","undefined runtime.fatalpanic.func1(undefined4 param_1\, int param_2)","169"
"runtime.startpanic_m","00434170","undefined runtime.startpanic_m(undefined1 param_1)","364"
"runtime.dopanic_m","004342e0","undefined runtime.dopanic_m(uint * * * * param_1\, uint * * * * param_2\, uint * * * * param_3)","662"
"runtime.canpanic","00434580","undefined runtime.canpanic(undefined1 param_1)","393"
"runtime.isAbortPC","00434710","undefined runtime.isAbortPC(undefined * param_1)","47"
"runtime.goPanicExtendIndexU","00434740","undefined runtime.goPanicExtendIndexU(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","197"
"runtime.suspendG","00434810","undefined runtime.suspendG(uint * * * * param_1)","1204"
"runtime.resumeG","00434cd0","undefined runtime.resumeG(uint param_1\, undefined4 param_2)","182"
"runtime.asyncPreempt2","00434d90","undefined runtime.asyncPreempt2(void)","74"
"runtime.init.4","00434de0","undefined runtime.init.4(void)","221"
"runtime.wantAsyncPreempt","00434ec0","undefined runtime.wantAsyncPreempt(int param_1)","106"
"runtime.isAsyncSafePoint","00434f30","uint * * * * runtime.isAsyncSafePoint(uint * * * * param_1\, uint * * * * param_2\, uint * * * * param_3)","982"
"runtime.recordForPanic","00435310","undefined runtime.recordForPanic(int param_1\, uint param_2\, int param_3)","276"
"runtime.printlock","00435430","undefined runtime.printlock(void)","97"
"runtime.printunlock","004354a0","undefined runtime.printunlock(void)","84"
"runtime.gwrite","00435500","undefined runtime.gwrite(undefined4 * param_1\, uint param_2\, int param_3)","265"
"runtime.printsp","00435610","undefined runtime.printsp(void)","54"
"runtime.printnl","00435650","undefined runtime.printnl(void)","54"
